SGD_NUM,SGD_DATE,IMPORTER_TIN,DECLARANT_CODE,OFFICE_CODE,ORIGIN_CODE,HSCODE,ITM_NUM,XGB,Ranking-XGB,XGB+LR,Ranking-XGB+LR,DATE_CLS,Ranking-DATE_CLS,DATE_REV,Ranking-DATE_REV
C12929,2020-04-20T00:00:00Z,IMPW832,DECW2169,OFFICE92,CNTRY680,8423100000,43863,0.013995748,486,0.1528893691028602,284,0.07412194460630417,238,0.04716967046260834,226
C12930,2020-04-20T00:00:00Z,IMP477268,DEC9629,OFFICE92,CNTRY317,3902300000,43831,0.019368973,370,0.4523777694435482,164,0.2651537358760834,162,0.2873159945011139,131
C12931,2020-04-20T00:00:00Z,IMP452599,DEC5407,OFFICE92,CNTRY652,2520200000,43831,0.007553305,755,0.008021060606397627,602,0.0016138815553858874,723,-0.005183294415473938,722
C12942,2020-04-20T00:00:00Z,IMP746189,DEC7588,OFFICE92,CNTRY615,1105200000,43862,0.0027462845,1142,0.0013943355170829633,823,0.0005531597416847943,1023,-0.007281318306922913,979
C12942,2020-04-20T00:00:00Z,IMP746189,DEC7588,OFFICE92,CNTRY615,1105100000,43863,0.0024153683,1284,0.000824956564326495,878,0.0003893488028552383,1109,-0.00819408893585205,1087
C12945,2020-04-20T00:00:00Z,IMPW1138,DEC3770,OFFICE92,CNTRY680,9617000000,43862,0.06347932,193,0.003356917165595473,724,0.010854415595531464,436,-0.0021993517875671387,435
C12945,2020-04-20T00:00:00Z,IMPW1138,DEC3770,OFFICE92,CNTRY680,8481100000,43863,0.0058079180000000005,816,0.0011552727699938893,841,0.005217652767896652,536,-0.00515495240688324,716
C12947,2020-04-20T00:00:00Z,IMPW1138,DEC3770,OFFICE92,CNTRY680,8481100000,43862,0.0042335870000000005,894,0.000404980996047468,982,0.002466997131705284,649,-0.0059575289487838745,867
C12947,2020-04-20T00:00:00Z,IMPW1138,DEC3770,OFFICE92,CNTRY680,6910100000,43863,0.007993563,727,0.007973542673380806,604,0.0006119550089351832,1002,-0.005443960428237915,771
C12950,2020-04-20T00:00:00Z,IMPW1138,DEC3770,OFFICE92,CNTRY680,8481100000,43831,0.0049767513,854,0.0009875612584510293,861,0.004344225395470858,563,-0.005419284105300903,765
C12951,2020-04-20T00:00:00Z,IMPW1138,DEC3770,OFFICE92,CNTRY680,7013990000,43862,0.016145918999999998,436,0.01999385991904498,486,0.034870192408561713,295,-0.0012925565242767334,391
C12951,2020-04-20T00:00:00Z,IMPW1138,DEC3770,OFFICE92,CNTRY680,8481100000,43863,0.004513168,876,0.0007593129409354176,890,0.003702135058119893,584,-0.00566495954990387,824
C12953,2020-04-20T00:00:00Z,IMPW1138,DEC3770,OFFICE92,CNTRY680,8481100000,43862,0.0042335870000000005,894,0.000404980996047468,982,0.002466997131705284,649,-0.0059575289487838745,867
