starting_date,f1,auc,pr1,pr2,pr5,pr10,re1,re2,re5,re10,rev1,rev2,rev5,rev10,model,epoch,dim,lr,l2,beta,heads,fusion,activation
16-06-01,0.26689392420292757,0.8074914837500127,0.4585895240306854,0.24927589297294617,0.11800029128789902,0.09246129542589188,0.20464816010329245,0.2222401549386701,0.263234344738541,0.41252420916720467,0.26277869798510095,0.2864805949116058,0.33840852710770725,0.48406734393978673,DATE_16-06-01,5,16,0.005,0.01,0.0,4,concat,relu
16-09-01,0.17079940784603997,0.7826795240126779,0.30271247029304504,0.17290648818016052,0.08399652689695358,0.05848080292344093,0.13508715300193674,0.15429309231762428,0.18737895416397676,0.26081342801807617,0.16363262773298826,0.19903814422728672,0.268955283226301,0.32958879500556737,DATE_16-09-01,5,16,0.005,0.01,0.0,4,concat,relu
16-09-01,0.17901234567901236,0.7788571444399399,0.3037974536418915,0.16874660551548004,0.07828100025653839,0.04814962297677994,0.1355713363460297,0.15058102001291154,0.17462879276952872,0.21481601032924466,0.1635613503668141,0.201233286303334,0.2510878432889381,0.31467608133184855,DATE_16-09-01,5,16,0.005,0.01,0.0,4,concat,relu
16-06-01,0.21469190620861572,0.791642198864467,0.44520795345306396,0.24416711926460266,0.11152927577495575,0.08099406957626343,0.1986765655261459,0.21788250484183344,0.2487088444157521,0.36136216914138153,0.23520659135863922,0.2660171905510379,0.30883177549502283,0.4385157229430183,DATE_16-06-01,5,16,0.005,0.01,0.0,4,concat,relu
16-09-01,0.18451816745655605,0.793177379612441,0.3084990978240967,0.174809992313385,0.0942700058221817,0.06896551698446274,0.13766946417043255,0.15590703679793416,0.210296965784377,0.3076178179470626,0.17168263555724536,0.20309369556853532,0.2878603326899845,0.3804665879944274,DATE_16-09-01,5,16,0.005,0.01,0.0,4,concat,relu
16-09-01,0.1852736525080486,0.767501055032504,0.3128390610218048,0.17182131111621857,0.07813630253076553,0.05256113409996033,0.1396061975468044,0.15332472562943836,0.17430600387346676,0.23450613298902517,0.17607904659776158,0.2088170969057475,0.24181915730702797,0.3202316364139929,DATE_16-09-01,5,16,0.005,0.01,0.0,4,concat,relu
16-06-01,0.2368807815336734,0.799124255655571,0.44882458448410034,0.2486887276172638,0.11251085996627808,0.07723753899335861,0.20029051000645579,0.22191736604260814,0.2508069722401549,0.3445771465461588,0.24858770487769039,0.27794114878159953,0.312559603541785,0.4135917088101624,DATE_16-06-01,5,16,0.005,0.01,0.0,4,concat,relu
16-06-01,0.2227359693877551,0.7990630814718677,0.4442836344242096,0.2465183585882187,0.1289249062538147,0.1021198108792305,0.19819238218205293,0.21998063266623627,0.28760490639122016,0.45561652679147835,0.25031545957600687,0.2799592632647603,0.33825063517635,0.5076201835463522,DATE_16-06-01,5,16,0.005,0.01,0.0,4,concat,relu
16-09-01,0.1860878395531861,0.7327627672943704,0.30452078580856323,0.16874660551548004,0.07871509343385696,0.05313992127776146,0.13589412524209168,0.15058102001291154,0.17559715945771465,0.23708844415752098,0.16631836399569724,0.1978615708876455,0.24050488624511807,0.3174693183067148,DATE_16-09-01,5,16,0.005,0.01,0.0,4,concat,relu
16-06-01,0.21110792192881744,0.8128349577999898,0.4462929368019104,0.2512662708759308,0.12537983059883118,0.10023874789476395,0.19916074887023885,0.22417688831504196,0.27969657843770174,0.44722401549386703,0.24855141298175798,0.2809557142274793,0.33461518348843505,0.5133164122138945,DATE_16-06-01,5,16,0.005,0.01,0.0,4,concat,relu
16-03-01,0.5237550522382369,0.9277902953306506,0.7892636656761169,0.570808470249176,0.30133122205734253,0.17461925745010376,0.3511943189154293,0.5093608779857973,0.672207876049064,0.7790510006455778,0.31977033293894197,0.43438789249738663,0.5770480931086617,0.7129712944644631,DATE_16-03-01,5,16,0.005,0.01,0.0,4,concat,relu
16-03-01,0.5017710271957735,0.9254901891425111,0.8437613248825073,0.6131716966629028,0.3257817029953003,0.18379825353622437,0.3765332472562944,0.5469657843770175,0.7264364105874758,0.8198837959974177,0.30544395216680736,0.460739711746668,0.6224417134788495,0.7230491921461384,DATE_16-03-01,5,16,0.005,0.01,0.0,4,concat,relu
16-03-01,0.5337341816402154,0.9356869853066052,0.8730560541152954,0.6087900400161743,0.3187671899795532,0.1823180466890335,0.38960619754680437,0.5432537120723047,0.711103938024532,0.8134280180761781,0.3218579191977623,0.43537504926104453,0.6105784865266864,0.7203946750831158,DATE_16-03-01,5,16,0.005,0.01,0.0,4,concat,relu
16-06-01,0.21982828446460392,0.7976168392509004,0.44231465458869934,0.24272020161151886,0.11011431366205215,0.0702141523361206,0.197385409941898,0.21659134925758555,0.24564234990316333,0.31326662362814717,0.24808732622727517,0.2780587886372202,0.3226037095070313,0.38095859900628365,DATE_16-06-01,5,16,0.005,0.01,0.0,4,concat,relu
16-06-01,0.25286268571969334,0.8213251293890841,0.4509945809841156,0.24814613163471222,0.11727680265903473,0.09072493016719818,0.2012588766946417,0.22143318269851517,0.26162040025823113,0.40477727566171723,0.23892312078309993,0.2757218721999322,0.3192017671616403,0.48013834300074143,DATE_16-06-01,5,16,0.005,0.01,0.0,4,concat,relu
16-06-01,0.23073469998503668,0.8106207099895635,0.4540520906448364,0.26496654748916626,0.13232527673244476,0.09525015205144882,0.2025500322788896,0.23644286636539702,0.29519044544867656,0.4249515816655907,0.24477257657688795,0.2875622566804638,0.3394314629682295,0.47666725875265115,DATE_16-06-01,5,16,0.005,0.01,0.0,4,concat,relu
16-06-01,0.22897703549060544,0.8059195421742056,0.4462929368019104,0.24638205766677856,0.10975256562232971,0.06822457164525986,0.19916074887023885,0.2198192382182053,0.2448353776630084,0.30438992898644285,0.23457582710678712,0.27671180978128357,0.3093619353111058,0.3772995856403634,DATE_16-06-01,5,16,0.005,0.01,0.0,4,concat,relu
16-06-01,0.16312412831241285,0.8053315519760451,0.43074139952659607,0.23638994991779327,0.10975256562232971,0.09459557384252548,0.19222078760490638,0.21094254357650097,0.2448353776630084,0.4220464816010329,0.2308473057965877,0.2545820959049656,0.3185156145507781,0.4978506017595753,DATE_16-06-01,5,16,0.005,0.01,0.0,4,concat,relu
