starting_date,f1,auc,pr1,pr2,pr5,pr10,re1,re2,re5,re10,rev1,rev2,rev5,rev10,model,epoch,dim,lr,l2,beta,heads,fusion,activation
13-01-01,0.7436914775432472,0.9688395814316535,0.9081374406814575,0.7979012131690979,0.3837360739707947,0.20196063816547394,0.4052614590058102,0.7117495158166559,0.856036152356359,0.9010652033570046,0.4595309375417685,0.6772558685729922,0.8411244548889572,0.9011433175247493,DATE_13-01-01_rollback-none,5,16,0.005,0.01,0.0,4,concat,relu
13-01-01,0.755095591720651,0.9569772973330685,0.9710668921470642,0.8289021253585815,0.37715235352516174,0.1971132904291153,0.4333440929632021,0.7396707553260168,0.841349257585539,0.8794383473208521,0.4557810263750228,0.6568743957935039,0.805744179546421,0.845333725893518,DATE_13-01-01_rollback-deterministic,5,16,0.005,0.01,0.0,4,concat,relu
13-01-01,0.759016393442623,0.9573106199515233,0.9703435897827148,0.8147947192192078,0.3718709349632263,0.19664303958415985,0.43302130406714007,0.7270819883795997,0.829567462879277,0.8773402194964494,0.40211924023940043,0.6357814493395717,0.7766433861381357,0.8390010753309348,DATE_13-01-01_rollback-stochastic,5,16,0.005,0.01,0.0,4,concat,relu
13-01-01,0.7460198257735056,0.9707093467186755,0.92549729347229,0.7994212508201599,0.3892345428466797,0.20380552113056183,0.4130083925112976,0.7133634602969657,0.868302130406714,0.9092963202065849,0.4715585304188402,0.6750197241590565,0.851447695300808,0.9089469007794381,DATE_13-01-01_rollback-none,5,16,0.005,0.01,0.0,4,concat,relu
13-01-01,0.7511942352845923,0.9610980010852923,0.9558770060539246,0.80466628074646,0.3770076632499695,0.19866879284381866,0.4265655261459006,0.7180438992898645,0.8410264686894771,0.8863783085861846,0.4408332166421939,0.6586398586448539,0.7861055115554829,0.8622764631838494,DATE_13-01-01_rollback-stochastic,5,16,0.005,0.01,0.0,4,concat,relu
13-01-01,0.761162627600717,0.9698950833485831,0.965641975402832,0.8223910331726074,0.38662999868392944,0.20297351479530334,0.43092317624273724,0.7338605551969012,0.8624919302775984,0.9055842479018722,0.4262197108096167,0.6559320057446448,0.8323553673757191,0.8958929365910716,DATE_13-01-01_rollback-none,5,16,0.005,0.01,0.0,4,concat,relu
13-01-01,0.7358708189158016,0.9687899861009809,0.9508137702941895,0.8007960915565491,0.38629937171936035,0.203009694814682,0.42430600387346673,0.7143318269851517,0.8600710135571337,0.9057456423499032,0.44467271179885876,0.6827459362979372,0.8401451885653163,0.8886898897117098,DATE_13-01-01_rollback-none,5,16,0.005,0.01,0.0,4,concat,relu
13-01-01,0.7570419538762658,0.9585136232456126,0.9392405152320862,0.8035811185836792,0.367095947265625,0.19675154983997345,0.4191413815364751,0.7170755326016786,0.8189154293092318,0.8778244028405423,0.42816262561969937,0.6189060489295184,0.7556565209200631,0.8306680480579759,DATE_13-01-01_rollback-stochastic,5,16,0.005,0.01,0.0,4,concat,relu
13-01-01,0.7514962695744855,0.9681862442910665,0.9349005222320557,0.7999276518821716,0.3895239531993866,0.20274963974952698,0.4172046481601033,0.7136862491930278,0.8689477081988379,0.9044544867656552,0.43184821648266375,0.6152722043781212,0.8398616269660487,0.8942550262588629,DATE_13-01-01_rollback-none,5,16,0.005,0.01,0.0,4,concat,relu
13-01-01,0.7338021094927172,0.9532519447026468,0.909584105014801,0.7753662467002869,0.3755607008934021,0.19754739105701447,0.40590703679793416,0.6918979987088444,0.8377985797288573,0.881375080697224,0.49023945260418916,0.645158508057165,0.7831136208042869,0.8607399194795253,DATE_13-01-01_rollback-deterministic,5,16,0.005,0.01,0.0,4,concat,relu
13-01-01,0.7390633041688112,0.952206228791791,0.9529837369918823,0.7827031016349792,0.363044410943985,0.19371291995048523,0.4252743705616527,0.6981923821820529,0.8098773402194964,0.8642672692059393,0.4643623256576194,0.6586309310554662,0.7809529976043516,0.8432175063966334,DATE_13-01-01_rollback-stochastic,5,16,0.005,0.01,0.0,4,concat,relu
13-01-01,0.6887388048744677,0.9556345284201907,0.8753623366355896,0.7563754916191101,0.3723773658275604,0.19682390987873077,0.3899289864428664,0.6749515816655907,0.8306972240154938,0.8781471917366043,0.4899464934128432,0.6982619679221346,0.787515421726588,0.8503650673942672,DATE_13-01-01_rollback-deterministic,5,16,0.005,0.01,0.0,4,concat,relu
13-01-01,0.7337557094445262,0.9696306312558475,0.922603964805603,0.8071984052658081,0.3922731876373291,0.20337143540382385,0.4117172369270497,0.7203034215622982,0.8750806972240155,0.907359586830213,0.4349287625802673,0.6532013686970706,0.8539519991629786,0.899154162744052,DATE_13-01-01_rollback-none,5,16,0.005,0.01,0.0,4,concat,relu
13-01-01,0.7251096861289233,0.9477330893706186,0.9240506291389465,0.768131673336029,0.3665894865989685,0.19389379024505615,0.4123628147191737,0.6854422207876049,0.8177856681730149,0.8650742414460942,0.41845506316865516,0.6234375175724339,0.7463308882986662,0.8236732470243646,DATE_13-01-01_rollback-deterministic,5,16,0.005,0.01,0.0,4,concat,relu
13-01-01,0.71228950197062,0.9535400036090091,0.9374095797538757,0.7646952271461487,0.36492547392845154,0.1930256187915802,0.4181730148482892,0.6823757262750162,0.8140735958683021,0.8612007746933505,0.4593092765466917,0.63690240784026,0.7686297052422436,0.8234543653320653,DATE_13-01-01_rollback-stochastic,5,16,0.005,0.01,0.0,4,concat,relu
