starting_date,f1,auc,pr1,pr2,pr5,pr10,re1,re2,re5,re10,rev1,rev2,rev5,rev10,model,epoch,dim,lr,l2,beta,heads,fusion,activation,ntree,ndepth
13-01-01,0.7497267759562841,0.9649148071256439,0.9197106957435608,0.8251039981842041,0.3825784921646118,0.20054984092712402,0.4104260813428018,0.736281471917366,0.8534538411878632,0.894770819883796,0.439705484952043,0.6688790409122818,0.8177596044287683,0.8763343300174038,DATE_13-01-01_4_4,5,4,0.005,0.01,0.0,4,concat,relu,100,4
13-01-01,0.7514708220702816,0.9622351757810356,0.9381331205368042,0.8165370225906372,0.37490954995155334,0.1980176568031311,0.4184958037443512,0.7283731439638477,0.8363460296965785,0.8834732085216268,0.37915617012137864,0.6643220279450383,0.7831762184592049,0.8547977256406937,DATE_13-01-01_4_4,5,4,0.005,0.01,0.0,4,concat,relu,100,4
13-01-01,0.7262363272223077,0.9627555057147552,0.941410481929779,0.7911014556884766,0.3802633583545685,0.20004341006278992,0.4201097482246611,0.7059393156875403,0.8482892188508715,0.8925112976113622,0.3686648350082349,0.6255707423802144,0.8033134261818915,0.8772974117358948,DATE_13-01-01_4_4,5,4,0.005,0.01,0.0,4,concat,relu,100,4
13-01-01,0.7606164945072963,0.9616388042323781,0.9638336300849915,0.8181653618812561,0.3768629729747772,0.19736652076244354,0.4301162040025823,0.7298256939961265,0.8407036797934151,0.8805681084570691,0.3507838225596455,0.6374386926511195,0.7693610430634512,0.8467183269310048,DATE_13-01-01_4_4,5,4,0.005,0.01,0.0,4,concat,relu,100,4
13-01-01,0.7356715141146278,0.9626188414464822,0.9479204416275024,0.8067318201065063,0.37409549951553345,0.19765591621398926,0.42301484828921887,0.7194964493221433,0.8344092963202066,0.881859264041317,0.3697836798223658,0.6534066436031688,0.7911021294770949,0.8587858395491141,DATE_13-01-01_4_4,5,4,0.005,0.01,0.0,4,concat,relu,100,4
13-01-01,0.7276807180637922,0.962423588050486,0.9685352444648743,0.7800687551498413,0.37375199794769287,0.1963607370853424,0.43221433182698515,0.69609425435765,0.8337637185280826,0.8760490639122014,0.34888695418965765,0.6210666297118056,0.7648725506939799,0.8294392557529735,DATE_13-01-01_4_4,5,4,0.005,0.01,0.0,4,concat,relu,100,4
13-01-01,0.7602983556535006,0.9595759149283825,0.9566003680229187,0.8091878890991211,0.3711474537849426,0.19736652076244354,0.42688831504196256,0.7220787604906391,0.827953518398967,0.8805681084570691,0.32706946582772056,0.6519194687391051,0.7952867359447982,0.8720489121385321,DATE_13-01-01_4_4,5,4,0.005,0.01,0.0,4,concat,relu,100,4
13-01-01,0.7305090206185566,0.9611288413973671,0.9508137702941895,0.7863990068435669,0.3735349476337433,0.19696860015392303,0.42430600387346673,0.7017430600387347,0.8332795351839897,0.8787927695287282,0.4294689159147253,0.6417443761294965,0.7766000835896566,0.8509105036233543,DATE_13-01-01_4_4,5,4,0.005,0.01,0.0,4,concat,relu,100,4
13-01-01,0.7455915357486373,0.9625366234080844,0.959855318069458,0.8089379668235779,0.38143137097358704,0.2009912133216858,0.42834086507424146,0.7215945771465462,0.8507101355713363,0.8967075532601678,0.3830077900976618,0.6259529365627048,0.7984357138282232,0.8722132903721334,DATE_13-01-01_4_4,5,4,0.005,0.01,0.0,4,concat,relu,100,4
13-01-01,0.7780470914127425,0.9592377381260283,0.9674502611160278,0.8213058710098267,0.3705231249332428,0.19385762512683868,0.4317301484828922,0.7328921885087153,0.8265009683666882,0.8649128469980633,0.405745309105668,0.6684887712806571,0.7732591073346452,0.8332508124499274,DATE_13-01-01_4_4,5,4,0.005,0.01,0.0,4,concat,relu,100,4
