starting_date,f1,auc,pr1,pr2,pr5,pr10,re1,re2,re5,re10,rev1,rev2,rev5,rev10,model,epoch,dim,lr,l2,beta,heads,fusion,activation,alpha
13-01-01,0.7668584212208375,0.9675499409882216,0.9641953110694885,0.8308916687965393,0.38460424542427063,0.20120097696781158,0.4302775984506133,0.7414460942543577,0.8579728857327308,0.8976759199483538,0.3780561888519895,0.6507352378777828,0.8166753491237081,0.8791950718388604,DATE_CLS_13-01-01,5,16,0.005,0.01,0.0,4,concat,relu,10.0
13-01-01,0.7694901645925332,0.9674658503743296,0.9435804486274719,0.8263386487960815,0.38680270314216614,0.20243090391159058,0.421078114912847,0.7372498386055519,0.8628147191736604,0.9031633311814073,0.4345452799617138,0.6625747071596823,0.8216892679542017,0.89342649805447,DATE_CLS_13-01-01,5,16,0.005,0.01,0.0,4,concat,relu,10.0
13-01-01,0.7389478506528213,0.9635483015043317,0.8925858736038208,0.8025696873664856,0.38332971930503845,0.19779305160045624,0.3983214977404777,0.7157843770174306,0.855067785668173,0.8823434473854099,0.5169095808918024,0.7007288940723255,0.8289230767179806,0.8634619565382983,DATE_REV_13-01-01,5,16,0.005,0.01,0.0,4,concat,relu,10.0
13-01-01,0.77242270121902,0.9659123995483736,0.866546094417572,0.801048994064331,0.3924875259399414,0.20293734967708588,0.3867010974822466,0.7148160103292447,0.8752420916720465,0.9054228534538412,0.5307670718682572,0.6898075994750232,0.8683464358324007,0.9095281274672596,DATE_REV_13-01-01,5,16,0.005,0.01,0.0,4,concat,relu,10.0
13-01-01,0.7672975018925057,0.9664770507849593,0.8929475545883179,0.8340572118759155,0.3905368149280548,0.20134568214416504,0.39848289218850874,0.7438670109748224,0.8712072304712718,0.8983214977404778,0.5108360642866197,0.7039291003554082,0.8517747700218793,0.8782515637819888,DATE_REV_13-01-01,5,16,0.005,0.01,0.0,4,concat,relu,10.0
13-01-01,0.758351545426163,0.9681411710913588,0.9315961003303528,0.8324854373931885,0.38547244668006897,0.20185211300849915,0.4154293092317624,0.7395093608779858,0.8599096191091027,0.9005810200129115,0.4394365337708305,0.6800726268912252,0.8212758017393292,0.8903673552582922,DATE_CLS_13-01-01,5,16,0.005,0.01,0.0,4,concat,relu,10.0
13-01-01,0.7449892075238977,0.9672539056448319,0.9341056942939758,0.7986977696418762,0.3852945566177368,0.20082485675811768,0.41639767591994836,0.7127178825048418,0.8592640413169786,0.8959005810200129,0.48188616976804344,0.6582667624798019,0.8357438517754067,0.8761268249655803,DATE_CLS_13-01-01,5,16,0.005,0.01,0.0,4,concat,relu,10.0
13-01-01,0.7592099959693671,0.952832823726838,0.7557003498077393,0.805932343006134,0.3888004720211029,0.20152655243873596,0.3369916074887024,0.7191736604260813,0.8673337637185281,0.8991284699806327,0.49975770016798693,0.671217768052926,0.8662139128094599,0.8986548899823211,DATE_REV_13-01-01,5,16,0.005,0.01,0.0,4,concat,relu,10.0
13-01-01,0.7498126217958327,0.9696821496268933,0.9464737772941589,0.8032193779945374,0.38814932107925415,0.20282882452011108,0.4223692704970949,0.7167527437056165,0.8658812136862492,0.9049386701097483,0.4570222502701346,0.7023779782356298,0.8494783811856764,0.8876476602596646,DATE_CLS_13-01-01,5,16,0.005,0.01,0.0,4,concat,relu,10.0
13-01-01,0.7294117647058823,0.9661048970841826,0.7551537156105042,0.800687313079834,0.39089855551719666,0.20315438508987427,0.3369916074887024,0.7144932214331827,0.8720142027114267,0.9063912201420271,0.4800163208718445,0.6594969295710795,0.8513614962013396,0.9155460669170251,DATE_REV_13-01-01,5,16,0.005,0.01,0.0,4,concat,relu,10.0
13-01-01,0.7419703520691785,0.9296503767357924,0.8617444634437561,0.7952941060066223,0.3874773681163788,0.19870495796203613,0.3842801807617818,0.7091672046481601,0.8639444803098774,0.8865397030342156,0.47808882961098303,0.6689162964841585,0.8474131755384702,0.8927893584679714,DATE_REV_13-01-01,5,16,0.005,0.01,0.0,4,concat,relu,10.0
13-01-01,0.7703500121251313,0.9654763456645817,0.9551537036895752,0.8243805170059204,0.38518303632736206,0.20145420730113983,0.42624273724983863,0.7356358941252421,0.8592640413169786,0.8988056810845707,0.4291355232364511,0.6519284374205894,0.8356098684378201,0.881273217709225,DATE_CLS_13-01-01,5,16,0.005,0.01,0.0,4,concat,relu,10.0
13-01-01,0.7420434207454674,0.9662622322448167,0.9081374406814575,0.8119009137153625,0.3824637532234192,0.19960917532444,0.4052614590058102,0.724499677211104,0.8518398967075532,0.8902517753389283,0.47393165031883877,0.6549945918161363,0.8181371641044675,0.8897119859300358,DATE_REV_13-01-01,5,16,0.005,0.01,0.0,4,concat,relu,10.0
13-01-01,0.7170585219365708,0.9689497594020885,0.815913200378418,0.7484174370765686,0.3890175223350525,0.20315438508987427,0.36410587475790834,0.6678502259522272,0.867817947062621,0.9063912201420271,0.42803233091322285,0.6257611612625001,0.8378036618598931,0.8883529894347884,DATE_CLS_13-01-01,5,16,0.005,0.01,0.0,4,concat,relu,10.0
13-01-01,0.6879361914257229,0.9688171203798144,0.8423146605491638,0.7145957946777344,0.3897410035133362,0.20427578687667847,0.37588766946417046,0.6376694641704326,0.8694318915429309,0.9113944480309877,0.4643393905867471,0.6293642291590491,0.8489152015028694,0.9169227985339544,DATE_CLS_13-01-01,5,16,0.005,0.01,0.0,4,concat,relu,10.0
